System,Utterance,Source,ref1,ref2,hyp
Online-B,953,"""Kvůli epidemii koronaviru, která mnohé přinutila a stále nutí pracovat z domova, lidé musí trávit v domovech víc hodin než dříve, takže je čas zaměřit se na kvalitu vzduchu v domácnostech,"" řekla Abrahamová.
","""Due to the coronavirus pandemic, which has been making many people work at their homes, people have to spend more hours at their homes than they used before, it is time to focus on indoor air quality,"" Abraham said.
","“The Coronavirus epidemics has been forcing many people to work from home and with people spending more time inside, it’s time we tackle household air quality,” Abrahams said.
","""Because of the coronavirus epidemic, which has forced and continues to force many to work from home, people have to spend more hours in their homes than before, so it's time to focus on indoor air quality,"" Abraham said.
"
Online-B,954,"V Izraeli se podle ní kvalitou ""domácího vzduchu"" téměř nikdo nezabývá.
","According to her, hardly anyone concerns the quality of ""home air"" in Israel.
","According to Abrahams, the problem of “household air” quality is hardly ever addressed in Israel.
","According to her, almost no one in Israel deals with the quality of ""domestic air"".
"
Online-B,955,"Nebezpečné přitom mohou být věci, s nimiž člověk běžně přichází do styku - nátěry, osvěžovače vzduchu, desinfekční prostředky, deodoranty nebo pesticidy.
","Nevertheless, things that people get in touch at their homes can be dangerous - paints, air refresheners, dezinfectants, deodorants or pesticide.
","All the while, there’s potential danger in items with which we come in contact on a daily basis such as paints, air fresheners, disinfectants, deodorants, and pesticides.
","Things that a person normally comes into contact with can be dangerous - paints, air fresheners, disinfectants, deodorants or pesticides.
"
Online-B,956,"""Jedovatý plyn vydávají i oděvy, které pravidelně nosíme do čistírny,"" řekla Abrahamová.
","""Even clothes that we take to the dry cleaner's regularly release toxic gass,"" Abraham said.
","“Even the clothes that are regularly taken to the dry cleaner’s emit poisonous gas,” Abraham stated.
","""The poison gas is also emitted by clothes that we regularly carry to the treatment plant,"" Abraham said.
"
Online-B,957,"Nejvíc ohrožené jsou podle ní děti, staří členové domácnosti a lidé s dýchacími potížemi.
","Children, old people and people with respiratory diseases belong to high risk groups.
","As pointed out by Abraham, it is children, the elderly, and people with respiratory diseases that are at most risk.
","According to her, the most endangered are children, old household members and people with breathing difficulties.
"
Online-B,958,"I jinak zdraví jedinci mohou začít trpět problémy jako bolení hlavy, mdloby, dráždivost nosních cest, krvácení z nosu, zvracení nebo kožní alergie.
","Also people in good health conditions may suffer from health problems such as headache, unconsciousness, nasal sensitivity, nose bleeding, vomitting or skin allergies.
","However, even the otherwise healthy individuals might develop symptoms such as headache, faintness, irritability of nasal cavity, nose bleeding, vomiting, and skin allergy.
","Even otherwise, healthy individuals may begin to suffer from problems such as headaches, fainting, nasal irritation, nosebleeds, vomiting, or skin allergies.
"
Online-B,959,"Při dlouhodobém vystavení nezdravým látkám se mohou poškodit vnitřní orgány a centrální nervový systém.
","Long exposure to toxic substances can harm organs in your body and your central nervous system.
","Long-term exposure to harmful substances can damage internal organs and the central nervous system.
","Prolonged exposure to unhealthy substances can damage internal organs and the central nervous system.
"
Online-B,960,"Ne všechny škodliviny ale pocházejí z předmětů uvnitř domácností, zdrojem může být i materiál, z nějž jsou domy postaveny.
","But not every toxic substance comes from household items, their source may be also materials which houses are built from.
","That being said, it’s not just the household items that produce pollutants, construction materials can be a source too.
","However, not all pollutants come from objects inside households, the source can also be the material from which houses are built.
"
Online-B,961,"Kvíz o Václavu Havlovi: Jak dlouho strávil ve vězení a co ho přimělo sepsat Chartu 77
","A quizz on Václav Havel: How much time he spent in prison and what made him to write Charta 77 (chybný nadpis - nesouvisí s článkem, pozn. překladatelky)
","Take quiz on Václav Havel: how long was he jailed and what made him sign Charter 77?
","Quiz about Václav Havel: How long he spent in prison and what made him write Charter 77
"
Online-B,962,"Fuenlabrada přišla kvůli koronavirové nákaze v týmu o šanci na postup do nejvyšší španělské fotbalové ligy.
","Fuenlabrada lost the chance to reach their promotion to the top Spanish league because of an outbreak of coronavirus in the team.
","The COVID-19 pandemic thwarted the Fuenlabrada team’s hopes to win promotion to Spain’s top football league.
","Fuenlabrada lost her chance to advance to the top Spanish football league due to a coronavirus infection in the team.
"
Online-B,963,"Vedení soutěže zrušilo původně odložený duel posledního kola druhé ligy, v němž si mohlo mužstvo zajistit účast v play off.
","The competition management cancelled previously postponed final-round game at the second-division league in which the team could ensure their playoffs participation.
","The league’s executives cancelled the originally postponed game against La Coruna, where the team hoped to secure a spot in the final playoff.
","The management of the competition canceled the originally postponed duel of the last round of the second league, in which the team could secure its participation in the playoffs.
"
Online-B,964,"Fuenlabrada v sobotu ohlásila dalších 12 infikovaných lidí, čímž se celkový počet pozitivních testů na covid-19 v klubu vyšplhal už na 28.
","On Saturday, Fuenlabrada announced 12 more infected people, which took the total number of COVID-19 cases at the club to 28.
","On Saturday, Fuenlabrada confirmed 12 more positive tests on COVID-19, bringing the total number of confirmed cases within the team to 28.
","Fuenlabrada reported another 12 infected people on Saturday, bringing the total number of positive tests for covid-19 at the club to 28.
"
Online-B,965,"Kvůli nákaze v týmu byl odložen pondělní duel proti La Coruni, v němž stačil Fuenlabradě bod k tomu, aby se dostala do play off.
","Because of the infection in the team, Monday's match against La Coruña, in which Fuenlabrada would need just one point to reach the playoffs promotion, was suspended.
","Following the increase in coronavirus cases in the team, its final-round match against La Coruna, where it needed at least a draw to make it to the playoffs, was postponed from its original date on Monday.
","Due to an infection in the team, Monday's duel against La Coruni was postponed, in which Fuenlabrada had enough points to make it to the playoffs.
"
Online-B,966,"Vedení soutěže dnes uvedlo, že duel proti La Coruni definitivně odvolal s ohledem na vyšší moc kvůli tomu, že ho už nebylo kdy sehrát.
","The management of the competition said today that the duel aganist La Coruña has been cancelled definitely due to force majeure and because there would be no other chance to play it.
","The league said today that since there was no alternative date available to play the match, they had to invoke the force majeure clause and suspend the game permanently.
","The management of the competition stated today that the duel against La Coruni was definitively canceled due to force majeure due to the fact that it was never played again.
"
Online-B,967,"Fuenlabrada rozhodnutí přijala.
","Fuenlabrada accepted the decision.
","Fuenlabrada accepted the decision.
","Fuenlabrada accepted the decision.
"
Online-B,968,"Proti nesehrání zápasu se naopak bouří La Coruňa.
","On the other hand, La Coruňa is protesting against the decision.
","La Coruna opposes it.
","On the other hand, La Coruňa's play was disheartening.
"
Online-B,969,"Té by nakonec vzhledem k výsledkům jejich rivalů nestačilo ani vítězství nad Fuenlabradou k záchraně, ale považuje za neférové, že se poslední kolo neodehrálo podle zvyklostí kompletní v jednotném termínu.
","Given the results of their opponents, not even the final victory over Fuenlabrada would help La Coruňa to save them, but they consider it unfair that the final round would not take place by rules, full and in a single term.
","Even if it won the game against its Madrid-based rival, given the results of its other opponents this would not be enough to save the team’s chances for promotion. The team does, however, think it was unfair that it could not finish the competition in full as is customary.
","In the end, given the results of their rivals, even a victory over Fuenlabrada would not be enough to save him, but he considers it unfair that the last round did not take place according to custom, complete in a single time.
"
Online-B,970,"Vedení někdejšího elitního španělského klubu hrozí kvůli pádu do třetí ligy soudem.
","The management of the former elite Spanish club is threatening legal action due to the fall in the third-division league.
","The executives of this formerly elite Spanish club threaten to take a legal action against the decision which has driven it to the brink of dropping to the third tier of Spanish football.
","The leadership of the former elite Spanish club is threatened by a court due to a fall into the third league.
"
Online-B,971,"Jistotu postupu mezi elitu mají první dva týmy tabulky Huesca a Cádiz.
","The first two teams in the Huesca and Cádiz tables have the certainty to reach the promotion to the elite.
","The two top teams in the gird, Huesca and Cádiz, are certain to be promoted to the Liga.
","The first two teams in the Huesca and Cádiz tables have the certainty of advancing among the elite.
"
Online-B,972,"O zbývající třetí postupové místo se v play off střetnou Zaragoza, Almería, Girona a Elche.
","The remaining teams Zaragoza, Almería, Girona and Elche will compete in the third place playoffs.
","In the playoffs, the third and final spot for promotion will be claimed by Zaragoza, Almería, Girona and Elche.
","Zaragoza, Almería, Girona and Elche will compete for the remaining third place in the playoffs.
"
Online-B,973,"Karel Gott neměl rád Václava Havla?!
","Karel Gott did not like Václav Havel?!
","Was there no love lost between Havel and Gott?!
","Did Karel Gott not like Václav Havel ?!
"
Online-B,974,"Dcera Dominika to odhalila
","His daughter Dominika reveales
","Gott’s daughter Dominika talks
","Dominika's daughter revealed it
"
Online-B,975,"""Táta ho nemusel mnoho let,"" prozradila pro Aha! nejstarší dcera Gotta Dominika s tím, že Mistr nemohl Havlovi přijít na jméno a kdykoliv na něj přišla řeč, Karla to prý vždy naštvalo.
","""My Dad was not much into him for many years,"" Karel Gott's oldest daughter Dominika said to Aha! and added that Master could not stand Havel whenever they spoke about him and Karel seemed to be always angry.
","“My dad had a got at Havel for many years,“ Dominika, the eldest of Gott’s daughters, said for Aha!. ‘Maestro’, as Gott was affectionately referred to by its supporters, could not simply stand Havel and flied off the hand every time the name of the former Czech president was brought about.
","""Dad didn't have to have him for many years,"" she told Aha! Gott Dominika's eldest daughter, with the proviso that the Master could not come to Havel's name and whenever it came to him, Karel was always annoyed.
"
Online-B,976,"Těžko říct, co si udělali, ale podle Dominiky spor začal někdy v polovině devadesátých let.
","It is hard to say what had happened between them, but according to Dominika the dispute began sometime in the mid 90s.
","We can only speculate as to what happened, but according to Dominika, the bad blood dates back to the 90s.
","It's hard to say what they did, but according to Dominic, the dispute began sometime in the mid-1990s.
"
Online-B,977,"""Táta se v nějakém článku po revoluci vyjádřil, že to měl snazší než on.
","""After the Revolution, my Dad mentioned in some article that Havel's life was easier than his.
","“In an interview given after the fall of the communist regime, my father said that things had been easier for Havel than for him.
","""In an article after the revolution, Dad said it was easier than him.
"
Online-B,978,"Že si Havel mohl v době temna psát do šuplíku, ale kdyby se on nějak vzepřel, tak měl se svou kariérou konec,"" tvrdí Gottová.
","That Havel could write 'drawer stories' in the dark times, but if he (Karel) resisted anyhow, his career would end,"" Gottová said.
","While Havel could secretly write his pieces even in the darkest hour, my father knew that any sign of defiance would cost him his entire career,” young Gott explains.
","That Havel could write in a drawer in the dark, but if he resisted, he would have ended his career, ""says Gott.
"
Online-B,979,"Vzápětí ale dodává, že nakonec k sobě čeští velikáni přece jen našli cestu.
","But she added that both great Czech men were able to reconcile finally.
","But she quickly adds that, in the end, the two prominent Czechs found a way to overcome the grudge.
","But then he adds that in the end the Czech greats still found their way to each other.
"
Online-B,980,"""Vím, že slovo Havel nemohl do svých šedesátin vůbec slyšet.
","""I know that he was absolutely allergic to name Havel until he was 60.
","“I know that until he turned sixty, only hearing Havel’s name used to drive him up a wall.
","""I know Havel couldn't hear the word until he was in his sixties.
"
Online-B,981,"Pak mu ale prezident pogratuloval dopisem k narozeninám a najednou se tátův vztah k němu začal měnit,"" vzpomíná Dominika.
","However, then Mr. President sent a letter congratulating him on his birthday and suddenly Dad's relationship with him started to change,"" Dominika remembers.
","But then, the President congratulated him on his birthday, and my day started to gradually change his opinion,” Dominika recalls.
","But then the president congratulated him on his birthday and suddenly his father's relationship with him began to change, ""Dominika recalls.
"
Online-B,982,"Ostatně o deset let později dokonce Gott pozval tehdy už bývalého prezidenta na oslavu svých sedmdesátin v hotelu Ambassador na Václavském náměstí.
","After all, ten years later Gott even invited the former president to celebrate his 70th birthday at the Ambassador Hotel on Wenceslas Square.
","For that matter, Gott eventually invited the already former President to the celebration of his 70th birthday at Ambassador Hotel on Wenceslas Square in Prague.
","After all, ten years later, Gott even invited the former president to celebrate his 70th birthday at the Ambassador Hotel on Wenceslas Square.
"
Online-B,983,"""A tam začala nová éra jejich vztahu, protože táta pak pana Havla pravidelně zval domů k sobě na Bertramku,"" doplnila blondýnka, jejíž otec zemřel loni v říjnu.
","""And it was there where a new era of their relationship began, because Dad invited Mr. Havel many times to our house in Bertramka since then,"" the blond girl, whose father died last October, added.
","“From then on, their relationship entered a new phase, because my father started to regularly invite Havel over to his villa Bertramka,” the blond, whose father passed ways last October, says.
","""And that's where a new era of their relationship began, because my father then regularly invited Mr. Havel home to Bertramka,"" added the blonde, whose father died last October.
"
Online-B,984,"Slavíka prý také mrzelo, že od Václava Havla nikdy nedostal státní vyznamenání.
","It is also said that the Czech Nightingale felt annoyed that he was never given a State decoration from Václav Havel.
","The laureate of the Nightingale award, recognition of the most popular Czech pop singers, regretted that Václav Havel had never recognised his work with a state decoration.
","It is also said that Slavík was sorry that he never received a state award from Václav Havel.
"
Online-B,985,"Přece jen se ho ale dočkal v roce 2009, i když to již bylo z rukou jeho nástupce ve funkci Václava Klause (79).
","However, he was given it finally in 2009, although he received it from Václav Klaus (79), Havel's successor for the position.
","Eventually, he was awarded one by Havel’s successor Václav Klaus (79) in 2009.
","After all, he survived it in 2009, even though it was already in the hands of his successor as Václav Klaus (79).
"
Online-B,986,"Další pocty se dočká in memoriam, současný prezident Miloš Zeman (75) mu má totiž udělit Řád bílého lva a uctít tak jeho památku.
","He will receive further in memoriam honors, current president Miloš Zeman (75) is to award him the White Lion and thus honor his memory.
","The incumbent president Miloš Zeman (75) will give the late Gott the Order of the White Lion, the country’s highest state honour, in memoriam this year to pay tribute to his legacy.
","He will receive further honors in memoriam, as the current president Miloš Zeman (75) is to award him the Order of the White Lion and thus honor his memory.
"
Online-B,987,"Od úterý hrozí v Česku vedra, meteorologové varují před požáry
","Heat waves to threaten Czech Republic from Tuesday, meteorologists warn of fire
","Humidity from Tuesday onwards in the Czech Republic, as meteorologists issue fire warning.
","Since Tuesday, the Czech Republic is in danger of heat, meteorologists warn of fires
"
Online-B,988,"Varování meteorologů před vysokými teplotami platí pro úterní odpoledne pro celé Čechy s výjimkou Karlovarského kraje a také pro jižní a střední Moravu.
","Meteorologists issued heat weather warning for Tuesday afternoon for the whole Bohemia except for Karlovarský region and southern and central Moravia.
","The high temperature warning issued by meteorologists takes effect from Tuesday afternoon and applies to all of the Czech Republic with the exception of the Karlovarsky Region as well as southern and central Moravia.
","Meteorologists' warnings about high temperatures apply to Tuesday afternoons for the whole of Bohemia, with the exception of the Karlovy Vary region, and also for southern and central Moravia.
"
Online-B,989,"""Výjimečně mohou teploty překročit i 34 stupňů Celsia, zejména ve středních Čechách,"" uvádějí.
","""Temperatures might exceptionally reached over 34 degree Celsius, especially in central Bohemia,"" they forecast.
","Exceptionally, temperatures could exceed 34 degrees celsius, especially in central Bohemia, they stated.
","""Exceptionally, temperatures can exceed 34 degrees Celsius, especially in Central Bohemia,"" they say.
"
Online-B,990,"Lidem doporučují dodržovat v horku pitný režim a omezit tělesnou zátěž v poledních a odpoledních hodinách.
","They recommend that people should drink enough water during heat waves and reduce physical activities in the mornings and afternoons.
","During the heat, they recommend that people make sure to drink plenty of fluids and to restrict their physical activity during midday and afternoon hours.
","People are advised to follow a hot drinking regimen and reduce physical activity at noon and in the afternoon.
"
Online-B,991,"Vzhledem k teplému počasí s minimem srážek bude od úterního rána hrozit nebezpečí vzniku požárů.
","Due to the hot weather with minimum rainfall, there will be fire risk from Tuesday morning.
","From Tuesday morning, there will be an increased fire hazard due to the hot weather and minimal precipitation.
","Due to the warm weather with minimal precipitation, there will be a risk of fires from Tuesday morning.
"
Online-B,992,"K jejich rychlému šíření by mohlo přispět větrné počasí.
","High winds might cause the fire to move ahead rapidly.
","Windy weather could accelerate their spread.
","Windy weather could contribute to their rapid spread.
"
Online-B,993,"Varování meteorologů před rizikem požárů se týká středních Čech, včetně Prahy, Libereckého, Ústeckého, Karlovarského a Plzeňského kraje.
","Fire risk warning issued by meteorologists is valid for central Bohemia, including Prague, Liberecký, Ústecký, Karlovarský and Plzeňský region.
","The meteorologists' warning of increased fire hazard pertains to central Bohemia, including Prague and the Liberecky, Ústecky, Karlovarsky, and Plzensky regions.
","Meteorologists' warnings about the risk of fires apply to Central Bohemia, including Prague, Liberec, Ústí nad Labem, Karlovy Vary and the Pilsen Region.
"
Online-B,994,"Varování před požáry bude v platnosti do odvolání.
","Fire risk warning will be valid util cancelled.
","The fire hazard warning will remain in effect until further notice.
","The fire warning will be valid until further notice.
"
Online-B,995,"""Významnější srážky, které by nebezpečí zmírnily, na severozápadě a západě Čech neočekáváme minimálně do konce týdne,"" uvádí ČHMÚ.
","""Until the end of the week, we are not expecting significant rainfalls which could reduce the risk in north-western and western Bohemia,"" ČHMÚ says.
","We do not expect any significant precipitation either in northwestern or western Bohemia which would help diminish the risk of fire before the end of the week, stated ČHMÚ.
","""We do not expect significant precipitation that would mitigate the danger in the northwest and west of Bohemia at least until the end of the week,"" the CHMI states.
"
Online-B,996,"Pražský magistrát na varování meteorologů reagoval zákazem rozdělávání ohňů na rizikových místech, který má platit od úterý.
","Prague City Council reacted to the warning by imposing a ban on making fires in areas with high risk, which is to be valid from Tuesday.
","The Prague Magistrate reacted to the meteorologists' warning by banning fire-building in risk-prone areas from Tuesday onwards.
","The Prague City Council responded to the warnings of meteorologists by banning the setting up of fires in risky places, which is to apply from Tuesday.
"
Online-B,997,"Lidé v hlavním městě nebudou smět zakládat otevřené ohně například v parcích, zahradách či lesích, a to až do vzdálenosti 50 metrů od okraje lesního porostu.
","People in the capital city will not be allowed to make open fire, e.g. in parks, gardens or forests, over a distance of 50 metres from the edge of the forest cover.
","People in the capital city will not be allowed to build fires in open spaces, for instance in parks, gardens or forests, and must ensure a distance of 50 meters from the outer periphery of forest areas.
","People in the capital will not be allowed to start open fires in parks, gardens or forests, for example, up to a distance of 50 meters from the edge of the forest.
"
Online-B,998,"Zakázáno je v těchto místech také kouření a používání pyrotechniky.
","It is also forbidden to smoke and use pyrotechnics in these areas.
","Smoking and the use of pyrotechnics are also banned in these areas.
","Smoking and the use of pyrotechnics are also prohibited in these areas.
"
Online-B,999,"Opatření bude platit do odvolání, informoval mluvčí pražského magistrátu Vít Hofman.
","The measures will be valid until cancelled, Vít Hofman, Prague City Council's spokesman, informed.
","These measures will be valid until further notice informed Vít Hofman, spokesperson for the Prague Magistrate.
","The measure will apply until further notice, said Vít Hofman, a spokesman for the Prague City Hall.
"
Online-G,0,"Novák pomohl Trabzonsporu k druhému místu, trefil se i Škoda
","Novák helped Trabzonspor to finish in second place, Škoda scored too
","Novák’s goal helped Trabzonspor claim second place; Škoda scored too
","Novak helped Trabzonspor to second place, Škoda also scored
"
Online-G,1,"Obránce Filip Novák pomohl gólem v posledním kole turecké fotbalové ligy Trabzonsporu k titulu vicemistra.
","Defender Filip Novák helped Trabzonspor to clinch the title of vice-champion by scoring in the last round of the Turkish football league.
","The Czech defender Filip Novák’s goal in the last round of the Turkish Football League helped Trabzonspor to the vice-champion title.
","Defender Filip Novak helped with a goal in the last round of the Turkish Football League Trabzonspor to the title of vice-champion.
"
Online-G,2,"Jeho tým zvítězil 2:1 na hřišti Kayserisporu a udržel za sebou třetí Besiktas.
","His team won 2:1 on Kayserispor pitch and hold behind Besiktas in the 3rd place.
","The team won 2-1 on Kayserispor’s home ground, leaving Beskitas behind on the third place.
","His team won 2: 1 on the field of Kayserispor and kept behind the third Besiktas.
"
Online-G,3,"Útočník Milan Škoda dal po lednovém přestupu ze Slavie již desátou branku za Rizespor, který se zachránil, i když podlehl 1:3 na hřišti Fenerbahce.
","After his transfer from Slavia in January, striker Milan Škoda have scored his 10th goal for Rizespor that escaped although they had been beaten 1:3 on Fenerbahce pitch.
","Since his transfer from FC Slavia, the forward Milan Škoda has scored ten goals for Rizespor, which was saved from relegation despite losing 1-3 in an away match to Fenerbahce.
","Striker Milan Škoda scored his 10th goal for Rizespor after a January transfer from Slavia, which was saved even after losing 1-3 on Fenerbahce's pitch.
"
Online-G,4,"Novák potvrdil na obránce výbornou produktivitu sedmým gólem v tomto ligovém ročníku.
","Novák confirmed his excellent striker productivity by scoring the 7th goal in this league season.
","Scoring his seventh goal in this year’s league, Novák reaffirmed his excellent productivity on the pitch.
","Novak confirmed the excellent productivity of the defender with the seventh goal in this league year.
"
Online-G,5,"V 63. minutě gólman Kayserisporu jen vyrazil prudkou střelu a český fotbalista z úhlu napálil míč do sítě.
","In the 63th minute, the Kayserispor goalman only striked fiercely and the Czech football player scored a goal from an angle.
","As soon as Kayserispor’s goalkeeper kicked off the ball in the 63rd minute, the Czech football player shot it right into the goal from the corner.
","63. a minute later, the goalkeeper of Kayserispor just fired a sharp shot, and the Czech footballer from an angle fired the ball into the net.
"
Online-G,6,"Domácím se povedlo pět minut před koncem vyrovnat, ale Trabzonspor v šesté minutě nastavení strhl vítězství na svou stranu, když úspěšně zakončil brejk čtyři na jednoho.
","The home team managed to equalize 5 minutes before the end of the match, but Trabzonspor pulled off victory in the 6th minute of the additional time, when successfully finishing a four-on-one break.
","The home team managed to even the score five minutes before the end of the match, but Trabzonspor secured its victory in the sixth minute of the additional time, capitalizing on a four-to-one break.
","The home side managed to equalize five minutes before the end, but Trabzonspor snatched the victory for their side in the sixth minute of the match when brejk successfully completed a four-on-one.
"
Online-G,7,"Škoda v úvodu druhého poločasu utkání s Fenerbahce vyrovnal po sólu na 1:1.
","Škoda equalised to 1:1 after a solo run at the beginning of the second half-time of the match against Fenerbahce.
","At the start of the second half of the match against Fenerbahce, Škoda’s solo effort evened the score at 1-1.
","Škoda in the opening of the second half of the match with Fenerbahce equalized after a solo at 1: 1.
"
Online-G,8,"Rizespor sice nerozhodný stav dlouho neudržel, ale mrzet ho to nemuselo, neboť díky výsledkům soupeřů za sebou zůstal tři body nad sestupovým pásmem.
","Rizespor did not held the tie game for a long time but they did not have to feel annoyed as, due to the opponents' results, they left behind 3 points over the relegation zone.
","Although Rizebospor failed to hold the draw for much longer, they didn’t have to feel too bad about it, since the results of their opponents left the club sitting three points above the drop zone.
","Rizespor did not hold the tie for long, but it did not have to regret it, because thanks to the results of the opponents, it remained three points above the relegation zone.
"
Online-G,9,"Soutěž zakončí nedělní duel mistrovského Basaksehiru na hřišti Kasimpasy.
","The competition will be finished by Sunday's duel of Basaksehir champion on Kasimpasa pitch.
","The competition will be concluded on Sunday, with Kasimpasa hosting the champion Basaksehir on its pitch.
","The competition ends Sunday's duel of the master Basaksehir on the Kasimpasa field.
"
Online-G,10,"Dobře utajená Jeskyně u poustevníka v lesích u Nového Boru ve skutečnosti nebyla obyvatelná
","Well-hidden Hermit's Cave in forests at Nový Bor was not habitable in fact
","The well-hidden Hermit’s Cave near the Czech town of Nový Bor wasn’t inhabited after all
","The well-hidden cave at the hermit in the forests near nový Bor was not actually habitable
"
Online-G,11,"Na severu Čech v podhůří Lužických hor, nedaleko Nového Boru na Českolipsku, v lesích, kterými vedla Hraběcí cesta, se ukrývá několik pískovcových skalních útvarů.
","In northern Bohemia, located at the foothills of the Lužické Mountains, not far from Nový Bor in Českolipsko, in the forests through which the Count's Path lead, there are hidden a few sandstone rock formations.
","In northern Bohemia, at the foothills of the Lusatian Mountains, near the town of Nový Bor in the Česká Lípa District, there are several sandstone rock formations hidden in the forests through which the so-called ""Earl’s Path"" used to pass.
","In the north of Bohemia, in the foothills of the lusatian mountains, near nový Bor in Czechoslovakia, several sandstone rock formations are hidden in the forests along the count's path.
"
Online-G,12,"Přírodních i uměle vytvořených.
","Both of natural and artificial origins.
","Some are natural, others man-made.
","Both natural and man-made.
"
Online-G,13,"A my se vydáme za tím lidskou rukou vytvořeným.
","And we will go to a one of them made by human beings.
","We’ll be taking a look on the one created by humans.
","And we will go after the man-made one.
"
Online-G,14,"Místu se říká Jeskyně u poustevníka.
","The place is called the Hermit's Cave.
","The place is known as the Hermit’s Cave.
","The place is called the hermit's cave.
"
Online-G,15,"Ve skutečnosti tu ale nikdy žádný poustevník nežil a jeskyně sloužila jako úkryt, přesněji úkrytová komora zřejmě na obilí.
","But in fact, no hermit ever lived there and the cave served as a shelter, or more precisely as a storeroom used probably for keeping corn.
","In reality, no hermit has ever lived here; the cave served as a storage place, or rather a place for the storage of corn, it seems.
","In fact, no hermit ever lived here, and the cave served as a shelter, more precisely, a hiding chamber, probably for grain.
"
Online-G,16,"Jeskyně je vytesaná z boku do skalní ostrožny a přístupná po schodech shora.
","The cave is sculpted from the side of the rock promontory and accessible by stairs from above.
","The cave is carved into the rock’s side, its entrance situated at the bottom of a set of stairs.
","The cave is carved from the side into the rock face and accessible by stairs from above.
"
Online-G,17,"Přitom ale do poslední chvíle prakticky není vidět.
","But in fact, you can hardly see it till the last minute.
","Yet, it stays out of view until the very last moment.
","At the same time, until the last moment, it is practically not visible.
"
Online-G,18,"Prozradí ji až úzké schody vedoucí na jakousi skalní galerii, odkud se teprve vstupuje do skály.
","It is not visible until you see narrow stairs leading to somewhat of a rock gallery from which you can enter the rock itself.
","The only clue to its location is the stairway, which leads into a kind of rocky gallery revealing the entrance.
","It is revealed only by narrow steps leading to a kind of rock gallery, from where you only enter the rock.
"
Online-G,19,"I když se zdá, že komora je značně daleko od lidských obydlí, v době vzniku mohlo být na náhorní plošině, kde je dnes les, pole.
","Although it seems as if the storeroom was located far away from people's dwellings, at the time of its formation, there might have been a field where there is the forest now.
","Although the storage room is seemingly too far away from human settlements, there might well have been a field on the now forest-covered high ground above.
","Although it seems that the chamber is considerably far from human habitation, at the time of creation it could have been on the plateau, where today there is a forest, a field.
"
Online-G,20,"""To, že ten objekt nemá okno a ani na tradičním místě umístěné topeniště, jednoznačně prokazuje, že tady žádný poustevník nemohl nikdy přežít zimu,"" vysvětluje historik Kamil Podroužek z Filozofické fakulty Jana Evangelisty Purkyně v Ústí nad Labem.
","""The fact that there is neither a window in the object nor furnaces situated at traditional places, proves definitely that no hermit could ever survive the winter here,"" historian Kamil Podroužek from the Faculty of Arts of Jan Evangelista Purkyně in Ústí nad Labem explains.
","“The fact that there’s no window in the object, nor a conventionally situated fire place, proves that no hermit would have ever been able to survive the winter here,” explains Kamil Podroužek, a historian from the Faculty of Arts at Jan Evangelista Purkyně University in Ústí nad Labem.
","""The fact that the building does not have a window and the traditional location of the firebox clearly proves that no hermit could ever survive the winter here,"" explains historian Kamil podroužek from the Faculty of philosophy of John the evangelist purkyně in Ústí nad Labem.
"
Online-G,21,"Jednoprostorový objekt má vzadu pouze kamennou lavici sloužící zřejmě k odkládání nádob.
","In the one-room object, there is only a stone bench at the back, which probably served for placing dishes.
","The one-room object contains a mere stone bench, apparently used for crockery storage.
","The one-story building has only a stone bench at the back, apparently serving to store containers.
"
Online-G,22,"""Vidím to jako komoru na uložení nějakých potravin nebo produktů z pole,"" dodává Kamil Podroužek.
","""I think it was a storeroom where people stored some food or field products,"" Kamil Podroužek adds.
","“The way I see it, this was a storage room for food and crops,” Kamil Podroužek adds.
","""I see it as a storage chamber for some food or products from the field,"" adds Kamil podroužek.
"
Online-G,23,"Na stěnách jeskyně jsou patrné stopy po nástrojích.
","There are visible tool marks along the caves walls.
","The walls bear marks of tools.
","Traces of tools are visible on the walls of the cave.
"
Online-G,24,"Odlamování pískovce špičákem bylo pro zasvěcené celkem jednoduché a rychlé.
","Breaking sandstone by a pick was for those in the know quite fast and simple.
","Breaking sandstone with a pickaxe was fast and easy for those in the know.
","Breaking off the sandstone with a tip was quite simple and quick for the initiates.
"
Online-G,25,"Stačilo vhodně využívat spáry a pískovec postupně odlamovat.
","One just needed to use chinks effectively and break sandstone off gradually.
","One simply had to use the fissures and the sandstone would gradually break off.
","It was enough to properly use the joints and gradually break off the sandstone.
"
Online-G,26,"Podle délky stopy po špičáku a vůbec způsobu sekání se dá rámcově určit období vzniku jeskyně.
","We can estimate a date of the formation of the cave on the basis of the length of the chink marks and the way how sandstone was broken off.
","Studying the length of the pickaxe marks and the very mode of cutting, it’s possible to outline the time of the cave’s origin.
","According to the length of the trail of the canines and the method of cutting in general, it is possible to determine the period of formation of the cave.
"
Online-G,27,"Podle historika jde pravděpodobně o konec 18. století.
","It is probably dated at the end of the 18th century, according to the historian.
","The historian dates it back to the late 18th century.
","According to the historian, this is probably the end of the 18th century. century.
"
